Time (s),P (kW),Q (kW)
54880,328.7165636,143.389231
54881,329.1812577,145.517091
54882,328.6912916,144.1917789
54883,328.7723866,142.4677193
54884,328.7225032,144.9336339
54885,324.4055622,142.5997733
54886,324.523777,143.3015606
54887,324.3354765,143.8983896
54888,324.3238292,143.4439911
54889,323.963525,141.8888983
54890,323.8208012,142.9441972
54891,324.2953459,140.7213892
54892,323.825109,141.714358
54893,323.5169513,144.1968931
54894,323.8965718,141.7513616
54895,324.0349597,141.8522383
54896,323.9684489,141.2180157
54897,323.7293372,142.0479835
54898,323.87761,142.531046
54899,323.8953507,145.5235993
54900,323.834909,141.0253513
54901,324.1804061,143.0310942
54902,324.2780406,143.5117278
54903,324.4742011,141.3903775
54904,324.0505973,143.8004974
54905,323.9009716,145.6334426
54906,323.733649,143.0570673
54907,324.3372237,143.828861
